; Historical concentrations CH4 and N2O from 1765 to 2005,,,
;constructed from   M. Meinshausen," S. Smith et al. (2011) """"The RCP GHG concentrations and their extension from 1765 to 2300""""", DOI 10.1007/s10584-011-0156-z," Climatic Change."""
1960,1247,291.4,
1961,1259.25,291.675,
1962,1272,291.925,
1963,1285,292.225,
1964,1298.25,292.6,
1965,1312,293,
1966,1326,293.4,
1967,1340.25,293.8,
1968,1355,294.225,
1969,1370.25,294.7,
1970,1385.75,295.2,
1971,1401.25,295.7,
1972,1417,296.225,
1973,1433,296.8,
1974,1449,297.4,
1975,1465,298,
1976,1481,298.65,
1977,1497.25,299.36,
1978,1513.75,300.0825,
1979,1530.25,300.74,
1980,1547.75,301.3825,
1981,1566.75,302.22,
1982,1586.25,303.0975,
1983,1605.845,303.805,
1984,1623.705,304.3975,
1985,1637.9925,305.0875,
1986,1650.435,305.7725,
1987,1662.2,306.2625,
1988,1673.07,307.195,
1989,1683.47,308.5075,
1990,1693.63,309.485,
1991,1703.8175,310.1125,
1992,1711.8,310.6025,
1993,1716.29,311.0775,
1994,1721.0125,311.6025,
1995,1726.35,312.295,
1996,1730.01,313.0475,
1997,1734.8175,313.76,
1998,1742.71,314.5325,
1999,1749.2425,315.2575,
2000,1751.0225,315.85,
2001,1750.7075,316.4875,
2002,1752.1875,317.245,
2003,1754.76,318.0175,
2004,1755.065,318.71,
2005,1753.735,319.44,
