# Atmospheric CO2 record,,,,,,,,,,,,,,,,,,,,
# Observed data set for Hector backend,,,,,,,,,,,,,,,,,,,,
# from http://cdiac.ornl.gov/ftp/trends/co2/maunaloa.co2,,,,,,,,,,,,,,,,,,,,
# Changes from original: added vtag, vtag, type, value and units,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,value,ctag,vtag,units,type,scenario,model
1968,322.57,323.15,323.89,325.02,325.57,325.36,324.14,322.03,320.41,320.25,321.31,322.84,323.05,323.05,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1969,324,324.42,325.64,326.66,327.34,326.76,325.88,323.67,322.38,321.78,322.85,324.12,324.63,324.63,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1970,325.03,325.99,326.87,328.14,328.07,327.66,326.35,324.69,323.1,323.16,323.98,325.13,325.68,325.68,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1971,326.17,326.68,327.18,327.78,328.92,328.57,327.34,325.46,323.36,323.57,324.8,326.01,326.32,326.32,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1972,326.77,327.63,327.75,329.72,330.07,329.09,328.05,326.32,324.93,325.06,326.5,327.55,327.45,327.45,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1973,328.55,329.56,330.3,331.5,332.48,332.07,330.87,329.31,327.51,327.18,328.16,328.64,329.68,329.68,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1974,329.35,330.71,331.48,332.65,333.09,332.25,331.18,329.4,327.43,327.37,328.46,329.57,330.25,330.25,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1975,330.4,331.41,332.04,333.31,333.96,333.6,331.91,330.06,328.56,328.34,329.49,330.76,331.15,331.15,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1976,331.75,332.56,333.5,334.58,334.87,334.34,333.05,330.94,329.3,328.94,330.31,331.68,332.15,332.15,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1977,332.93,333.42,334.7,336.07,336.74,336.27,334.93,332.75,331.59,331.16,332.4,333.85,333.9,333.9,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1978,334.97,335.39,336.64,337.76,338.01,337.89,336.54,334.68,332.76,332.55,333.92,334.95,335.51,335.51,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1979,336.23,336.76,337.96,338.89,339.47,339.29,337.73,336.09,333.91,333.86,335.29,336.73,336.85,336.85,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1980,338.01,338.36,340.08,340.77,341.46,341.17,339.56,337.6,335.88,336.02,337.1,338.21,338.69,338.69,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1981,339.23,340.47,341.38,342.51,342.91,342.25,340.49,338.43,336.69,336.86,338.36,339.61,339.93,339.93,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1982,340.75,341.61,342.7,343.57,344.13,343.35,342.06,339.81,337.98,337.86,339.26,340.49,341.13,341.13,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1983,341.37,342.52,343.1,344.94,345.75,345.32,343.99,342.39,339.86,339.99,341.15,342.99,342.78,342.78,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1984,343.7,344.5,345.28,347.08,347.43,346.79,345.4,343.28,341.07,341.35,342.98,344.22,344.42,344.42,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1985,344.97,346,347.43,348.35,348.93,348.25,346.56,344.68,343.09,342.8,344.24,345.55,345.9,345.9,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1986,346.3,346.96,347.86,349.55,350.21,349.54,347.94,345.9,344.85,344.17,345.66,346.9,347.15,347.15,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1987,348.02,348.47,349.42,350.99,351.84,351.25,349.52,348.1,346.45,346.36,347.81,348.96,348.93,348.93,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1988,350.43,351.73,352.22,353.59,354.22,353.79,352.38,350.43,348.72,348.88,350.07,351.34,351.48,351.48,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1989,352.76,353.07,353.68,355.42,355.67,355.13,353.9,351.67,349.8,349.99,351.29,352.52,352.91,352.91,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1990,353.66,354.7,355.39,356.2,357.16,356.23,354.82,352.91,350.96,351.18,352.83,354.21,354.19,354.19,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1991,354.72,355.75,357.16,358.6,359.33,358.24,356.17,354.02,352.15,352.21,353.75,354.99,355.59,355.59,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1992,355.98,356.72,357.81,359.15,359.66,359.25,357.02,355,353.01,353.31,354.16,355.4,356.37,356.37,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1993,356.7,357.16,358.38,359.46,360.28,359.6,357.57,355.52,353.69,353.99,355.34,356.8,357.04,357.04,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1994,358.37,358.91,359.97,361.26,361.68,360.95,359.55,357.48,355.84,355.99,357.58,359.04,358.89,358.89,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1995,359.97,361,361.64,363.45,363.79,363.26,361.9,359.46,358.05,357.76,359.56,360.7,360.88,360.88,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1996,362.05,363.25,364.02,364.72,365.41,364.97,363.65,361.48,359.45,359.6,360.76,362.33,362.64,362.64,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1997,363.18,364,364.56,366.35,366.79,365.62,364.47,362.51,360.19,360.77,362.43,364.28,363.76,363.76,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1998,365.33,366.15,367.31,368.61,369.3,368.87,367.64,365.77,363.9,364.23,365.46,366.97,366.63,366.63,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1999,368.15,368.87,369.59,371.14,371,370.35,369.27,366.93,364.63,365.13,366.67,368.01,368.31,368.31,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2000,369.14,369.46,370.52,371.66,371.82,371.7,370.12,368.12,366.62,366.73,368.29,369.53,369.48,369.48,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2001,370.28,371.5,372.12,372.87,374.02,373.3,371.62,369.55,367.96,368.09,369.68,371.24,371.02,371.02,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2002,372.43,373.09,373.52,374.86,375.55,375.41,374.02,371.49,370.7,370.25,372.08,373.78,373.1,373.1,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2003,374.68,375.63,376.11,377.65,378.35,378.13,376.62,374.5,372.99,373.01,374.35,375.7,375.64,375.64,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2004,376.79,377.37,378.41,380.52,380.63,379.57,377.79,375.86,374.07,374.24,375.86,377.47,377.38,377.38,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2005,378.37,379.69,380.41,382.1,382.28,382.13,380.66,378.71,376.42,376.88,378.32,380.04,379.67,379.67,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2006,381.38,382.03,382.64,384.62,384.95,384.06,382.29,380.47,378.67,379.06,380.14,381.74,381.84,381.84,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2007,382.45,383.68,384.23,386.26,386.39,385.87,384.39,381.78,380.73,380.81,382.33,383.69,383.55,383.55,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
2008,385.07,385.72,385.85,386.71,388.45,387.64,386.1,383.95,382.91,382.73,383.96,385.02,385.34,385.34,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
