year,co2,nonco2.land,nonco2.ocean,aerosol.land,aerosol.ocean,solar.land,solar.ocean,volc.land,volc.ocean,tot.land,tot.ocean
1893,0.3078,0.3014,0.2302,-0.203444377,-0.168901991,-0.0107,-0.0126,0,0,0.395055623,0.356498009
1894,0.3114,0.3066,0.2338,-0.206314734,-0.171254114,-0.0055,-0.0065,0,0,0.406185266,0.367445886
1895,0.3168,0.312,0.2375,-0.217998243,-0.180819364,-0.0076,-0.0089,0,0,0.403201757,0.364580636
1896,0.3204,0.3232,0.2432,-0.223211567,-0.185082921,-0.0184,-0.0217,0,0,0.401988433,0.356817079
1897,0.3241,0.3308,0.2477,-0.231593966,-0.191932292,-0.0552,-0.065,0,0,0.368106034,0.314867708
1898,0.3295,0.3423,0.2536,-0.243228802,-0.201427195,-0.0483,-0.0568,0,0,0.380271198,0.324872805
1899,0.3331,0.354,0.2596,-0.260487043,-0.215485388,-0.0593,-0.0697,0,0,0.367312957,0.307514612
1900,0.3385,0.3656,0.2656,-0.270769351,-0.223846486,-0.0683,-0.0804,-0.000921,-0.000921,0.364109649,0.298932514
1901,0.3421,0.3735,0.2704,-0.282070447,-0.233023412,-0.0859,-0.1011,-0.000921,-0.000921,0.346708553,0.277455588
1902,0.3475,0.3832,0.2757,-0.289548481,-0.239088617,-0.0922,-0.1086,-0.164859,-0.164859,0.184092519,0.110652383
1903,0.3511,0.3929,0.2811,-0.311370165,-0.256754574,-0.0708,-0.0833,-1.212957,-1.212957,-0.851127165,-0.920811574
1904,0.3565,0.401,0.2859,-0.314124851,-0.258981173,-0.0473,-0.0556,-0.549837,-0.549837,-0.153761851,-0.222018173
1905,0.3619,0.4092,0.2909,-0.331698183,-0.273167263,-0.0758,-0.0892,-0.167622,-0.167622,0.195979817,0.122810737
1906,0.3673,0.4213,0.2972,-0.346738607,-0.285283505,-0.0542,-0.0638,-0.068154,-0.068154,0.319507393,0.247262495
1907,0.3726,0.4314,0.3029,-0.376966382,-0.309564394,-0.067,-0.0789,-0.118809,-0.118809,0.241224618,0.168226606
1908,0.378,0.4432,0.309,-0.362913054,-0.298287462,-0.0581,-0.0684,-0.072759,-0.072759,0.327427946,0.247553538
1909,0.3834,0.453,0.3144,-0.379369881,-0.311491038,-0.0629,-0.074,-0.026709,-0.026709,0.367421119,0.285599962
1910,0.3887,0.4648,0.3206,-0.394980116,-0.323989897,-0.0758,-0.0892,-0.010131,-0.010131,0.372588884,0.285979103
1911,0.3941,0.4709,0.3248,-0.404087214,-0.331270368,-0.0786,-0.0925,-0.003684,-0.003684,0.378628786,0.291445632
1912,0.3994,0.477,0.3291,-0.424545753,-0.347594854,-0.0702,-0.0827,-0.284589,-0.284589,0.097065247,0.013616146
1913,0.4048,0.4848,0.3338,-0.450323304,-0.368103361,-0.0592,-0.0696,-0.20262,-0.20262,0.177456696,0.098276639
1914,0.4101,0.492,0.3382,-0.425438118,-0.348305936,-0.0459,-0.0541,-0.04605,-0.04605,0.384711882,0.299844064
1915,0.4154,0.4994,0.3427,-0.432630485,-0.354034242,0.0074,0.0087,-0.014736,-0.014736,0.474833515,0.398029758
1916,0.4208,0.5029,0.3458,-0.45814419,-0.374312401,0.0365,0.043,-0.005526,-0.005526,0.49652981,0.429761599
1917,0.4261,0.5069,0.3493,-0.472589039,-0.385764102,0.0734,0.0864,-0.002763,-0.002763,0.531047961,0.473272898
1918,0.4332,0.5126,0.3533,-0.470218598,-0.383886279,0.0685,0.0806,-0.000921,-0.000921,0.543160402,0.482292721
1919,0.4385,0.5175,0.3568,-0.413259999,-3.39E-01,0.0338,0.0397,-0.000921,-0.000921,0.575619001,0.495484151
1920,0.4438,0.519,0.3593,-0.447322798,-0.365719614,0.0165,0.0194,-0.000921,-0.000921,0.531056202,0.455859386
1921,0.4491,0.5224,0.3624,-0.397420651,-0.325941755,0.0037,0.0044,-0.002763,-0.002763,0.575016349,0.487195245
1922,0.4544,0.5262,0.3658,-0.419105397,-0.343257963,-0.0128,-0.0151,-0.077364,-0.077364,0.471330603,0.384478037
1923,0.4597,0.5308,0.3697,-0.48999065,-0.399532161,-0.0142,-0.0167,-0.058023,-0.058023,0.42828635,0.355144839
1924,0.4649,0.5355,0.3737,-0.487630481,-0.397666581,-0.0151,-0.0178,-0.021183,-0.021183,0.476486519,0.401950419
1925,0.4702,0.5399,0.3775,-0.500237474,-0.407625259,-0.0038,-0.0044,-0.008289,-0.008289,0.497773526,0.427385741
1926,0.4755,0.5441,0.3811,-0.507566316,-0.41340728,2.00E-04,2.00E-04,-0.002763,-0.002763,0.509470684,0.44062972
1927,0.4808,0.5506,0.3857,-0.524766887,-0.426956565,0.0265,0.0312,-0.001842,-0.001842,0.531291113,0.468901435
1928,0.486,0.555,0.3895,-0.521315574,-0.424240238,0.0115,0.0136,-0.05526,-0.05526,0.475924426,0.409599762
1929,0.4913,0.5588,0.3929,-0.545955055,-0.443606734,-0.0039,-0.0046,-0.268932,-0.268932,0.231312945,0.167061266
1930,0.4965,0.5635,0.3963,-0.508880033,-0.41444316,0.0049,0.0058,-0.11973,-0.11973,0.436289967,0.36442684
1931,0.5,0.5579,0.3959,-0.458201446,-0.374357834,-5.00E-04,-6.00E-04,-0.044208,-0.044208,0.554990554,0.476734166
1932,0.5053,0.5541,0.3962,-0.408062719,-0.33444586,-0.0052,-0.0062,-0.116967,-0.116967,0.529170281,0.44388714
1933,0.5105,0.5515,0.3974,-0.429826286,-0.35180148,-0.0058,-0.0068,-0.074601,-0.074601,0.551772714,0.47469752
1934,0.514,0.5503,0.3994,-0.467560483,-0.381779897,0.0152,0.0179,-0.02763,-0.02763,0.584309517,0.521890103
1935,0.5192,0.552,0.4027,-0.498113447,-0.405948529,0.0472,0.0556,-0.010131,-0.010131,0.610155553,0.561420471
1936,0.5245,0.5573,0.4068,-0.527187831,-0.428861245,0.1121,0.1319,-0.001842,-0.001842,0.664870169,0.632496755
1937,0.5297,0.564,0.4111,-0.557779556,-0.452879473,0.1103,0.1298,-0.000921,-0.000921,0.645299444,0.616799527
1938,0.5331,0.5723,0.4158,-0.516773233,-0.420663428,0.1141,0.1343,-0.000921,-0.000921,0.701805767,0.661615572
1939,0.5384,0.5784,0.4197,-0.541610995,-0.440196679,0.113,0.1329,-0.000921,-0.000921,0.687268005,0.649882321
1940,0.5436,0.5865,0.4244,-0.579843268,-0.470145084,0.124,0.1459,-0.000921,-0.000921,0.673335732,0.642833916
1941,0.5488,0.5795,0.424,-0.594223204,-0.481372264,0.1184,0.1394,-0.000921,-0.000921,0.651555796,0.629906736
1942,0.554,0.5764,0.4251,-0.606356749,-0.490829907,0.1056,0.1243,-0.000921,-0.000921,0.628722251,0.611649093
1943,0.5591,0.5711,0.4255,-0.607096246,-0.491405855,0.0868,0.1022,-0.000921,-0.000921,0.608982754,0.594473145
1944,0.5661,0.5674,0.4263,-0.591686432,-0.479393135,0.094,0.1106,-0.000921,-0.000921,0.634892568,0.622685865
1945,0.5712,0.562,0.4268,-0.534830161,-0.434870053,0.127,0.1495,-0.000921,-0.000921,0.724448839,0.711708947
1946,0.5781,0.5589,0.4282,-0.532058443,-0.432691447,0.1378,0.1622,-0.000921,-0.000921,0.741820557,0.734887553
1947,0.5833,0.5558,0.4299,-0.591237942,-0.479043169,0.1957,0.2303,-0.000921,-0.000921,0.742641058,0.763535831
1948,0.5902,0.5535,0.4327,-0.6140163,-0.496792881,0.2328,0.274,-0.000921,-0.000921,0.7615627,0.799186119
1949,0.5988,0.5523,0.4358,-0.593721454,-0.480980861,0.212,0.2495,-0.000921,-0.000921,0.768457546,0.802198139
1950,0.6056,0.5515,0.4394,-0.653448263,-0.527401068,0.1872,0.2203,-0.000921,-0.000921,0.689930737,0.736977932
1951,0.6125,0.5546,0.4448,-0.677961872,-0.546354002,0.164,0.1931,-0.000921,-0.000921,0.652217128,0.703124998
1952,0.621,0.5583,0.4503,-0.690210961,-0.55580305,0.1533,0.1804,-0.000921,-0.000921,0.641468039,0.69497595
1953,0.6296,0.5595,0.4551,-0.701003384,-0.564116619,0.1397,0.1645,-0.044208,-0.044208,0.583588616,0.640875381
1954,0.6381,0.5616,0.4603,-0.71261731,-0.573050701,0.1369,0.1612,-0.05526,-0.05526,0.56872269,0.631289299
1955,0.6483,0.5646,0.4662,-0.769568651,-0.616677707,0.176,0.2071,-0.020262,-0.020262,0.599069349,0.684660293
1956,0.6568,0.571,0.4734,-0.813906134,-0.650433751,0.2598,0.3058,-0.008289,-0.008289,0.665404866,0.777277249
1957,0.667,0.578,0.4813,-0.842721956,-0.672276071,0.3107,0.3657,-0.003684,-0.003684,0.709294044,0.838039929
1958,0.6788,0.5831,0.4886,-0.857099112,-0.683145785,0.2936,0.3455,-0.001842,-0.001842,0.696558888,0.827912215
1959,0.689,0.5903,0.4966,-0.894312172,-0.711194177,0.245,0.2883,-0.000921,-0.000921,0.629066828,0.761784823
1960,0.7008,0.5957,0.5043,-0.944254715,-0.748643923,0.2532,0.298,-0.000921,-0.000921,0.604524285,0.753535077
1961,0.7125,0.5982,0.5116,-0.954435206,-0.756250977,0.2081,0.2449,-0.000921,-0.000921,0.563443794,0.711828023
1962,0.7243,0.6022,0.5202,-0.978868067,-0.774470937,0.1753,0.2063,-0.000921,-0.000921,0.522010933,0.675408063
1963,0.736,0.6089,0.5302,-1.011295571,-0.798573195,0.158,0.186,-0.704565,-0.704565,-0.212960571,-0.050938195
1964,0.7494,0.6146,0.5401,-1.008102917,-0.796204198,0.1301,0.1531,-0.833505,-0.833505,-0.347507917,-0.187109198
1965,0.7627,0.6211,0.5507,-1.047063913,-0.825054698,0.1236,0.1455,-0.378531,-0.378531,0.081805087,0.255314302
1966,0.7777,0.6282,0.5638,-1.073833232,-0.844803224,0.1453,0.171,-0.141834,-0.141834,0.335532768,0.525862776
1967,0.7926,0.6377,0.5793,-1.056203057,-0.83180366,0.1592,0.1873,-0.054339,-0.054339,0.478957943,0.67305734
1968,0.8091,0.648,0.5953,-1.117449451,-0.876852768,0.1706,0.2007,-0.173148,-0.173148,0.337102549,0.555099232
1969,0.8272,0.6592,0.612,-1.154489346,-0.903947688,0.17,0.2001,-0.352743,-0.352743,0.149167654,0.382609312
1970,0.8453,0.6693,0.6287,-1.188299995,-0.928583816,0.1463,0.1722,-0.161175,-0.161175,0.311425005,0.556441184
1971,0.8649,0.6917,0.6489,-1.180248237,-0.922725194,0.115,0.1354,-0.061707,-0.061707,0.429644763,0.664767806
1972,0.8845,0.7138,0.6679,-1.193592415,-0.932431879,0.1298,0.1527,-0.028551,-0.028551,0.505956585,0.744117121
1973,0.904,0.7327,0.6852,-1.22565008,-0.955693354,0.1023,0.1203,-0.011052,-0.011052,0.50229792,0.742754646
1974,0.925,0.7506,0.7007,-1.206504139,-0.941810546,0.1067,0.1255,-0.019341,-0.019341,0.556454861,0.790048454
1975,0.9443,0.7638,0.713,-1.181095541,-0.923341953,0.0889,0.1047,-0.261564,-0.261564,0.354340459,0.577094047
