; NBP hector output under SSP245
Date,NBP_constrain
1925,-0.3802
1926,-0.3703
1927,-0.3623
1928,-0.3867
1929,-0.3695
1930,-0.3508
1931,-0.44
1932,-0.4476
1933,-0.3228
1934,-0.3322
1935,-0.3157
1936,-0.3035
1937,-0.298
1938,-0.259
1939,-0.2552
1940,-0.2399
1941,-0.2111
1942,-0.1776
1943,-0.1836
1944,-0.1665
1945,-0.1625
1946,-0.1635
1947,-0.25
1948,-0.2635
1949,-0.2526
1950,-0.2476
1951,-0.2373
1952,-0.4346
1953,-0.4295
1954,-0.3963
1955,-0.4236
1956,-0.4334
1957,-0.4489
1958,-0.435
1959,-0.4503
1960,-0.3524
1961,-0.2992
1962,-0.31
1963,-0.232
1964,-0.06292
1965,-0.01702
1966,-0.05301
1967,-0.08122
1968,-0.05596
1969,0.0251
1970,0.05991
1971,0.1251
1972,0.3204
1973,0.4412
1974,0.481
1975,0.5656
1976,0.6451
1977,0.6408
1978,0.6407
1979,0.7356
1980,0.8325
1981,0.8939
1982,0.925
1983,0.9965
1984,0.9468
1985,0.9038
1986,0.8602
1987,0.8526
1988,0.8887
1989,0.9081
1990,0.914
1991,1.031
1992,0.9735
1993,1.25
1994,1.36
1995,1.269
1996,1.203
1997,1.159
1998,0.3779
1999,0.8982
2000,1.032
2001,1.059
2002,1.243
2003,1.112
2004,1.254
2005,1.099
2006,1.104
2007,1.035
2008,1.136
2009,1.41
2010,1.322
2011,1.177
2012,1.133
2013,1.064
2014,1.088
2015,0.915
2016,1.009
2017,1.008
2018,1.031
2019,1.012
2020,0.9997
2021,0.9914
2022,0.9892
2023,0.9911
2024,0.9953
2025,1.001
2026,1.004
2027,1.007
2028,1.01
2029,1.013
2030,1.017
2031,1.021
2032,1.032
2033,1.042
2034,1.046
2035,1.049
2036,1.054
2037,1.061
2038,1.064
2039,1.068
2040,1.073
2041,1.08
2042,1.113
2043,1.147
2044,1.183
2045,1.222
2046,1.261
2047,1.303
2048,1.346
2049,1.39
2050,1.436
2051,1.484
2052,1.544
2053,1.607
2054,1.672
2055,1.739
2056,1.808
2057,1.878
2058,1.951
2059,2.026
2060,2.103
2061,2.182
2062,2.227
2063,2.269
2064,2.309
2065,2.345
2066,2.381
2067,2.415
2068,2.463
2069,2.45
2070,2.485
2071,2.517
2072,2.562
2073,2.605
2074,2.648
2075,2.689
2076,2.729
2077,2.768
2078,2.807
2079,2.846
2080,2.884
2081,2.921
2082,2.951
2083,2.978
2084,3.004
2085,3.027
2086,3.048
2087,3.063
2088,3.077
2089,3.108
2090,3.056
2091,3.009
2092,2.952
2093,2.897
2094,2.842
2095,2.788
2096,2.735
2097,2.683
2098,2.63
2099,2.579
2100,2.527
2101,2.476
2102,2.386
2103,2.298
2104,2.211
2105,2.126
2106,2.039
2107,1.955
2108,1.872
2109,1.816
2110,1.699
2111,1.592
2112,1.489
2113,1.388
2114,1.29
2115,1.193
2116,1.098
2117,1.006
2118,0.9166
2119,0.8294
2120,0.7443
2121,0.6612
2122,0.5803
2123,0.5012
2124,0.4241
2125,0.3484
2126,0.2743
2127,0.202
2128,0.1313
2129,0.06208
2130,-0.005725
2131,-0.0722
2132,-0.1378
2133,-0.2018
2134,-0.2643
2135,-0.3257
2136,-0.3858
2137,-0.4447
2138,-0.5025
2139,-0.5593
2140,-0.6152
2141,-0.67
2142,-0.724
2143,-0.7771
2144,-0.8295
2145,-0.881
2146,-0.9318
2147,-0.9817
2148,-1.031
2149,-1.079
2150,-1.126
2151,-1.173
2152,-1.193
2153,-1.213
2154,-1.231
2155,-1.249
2156,-1.267
2157,-1.284
2158,-1.301
2159,-1.317
2160,-1.333
2161,-1.349
2162,-1.364
2163,-1.379
2164,-1.394
2165,-1.408
2166,-1.425
2167,-1.442
2168,-1.458
2169,-1.472
2170,-1.486
2171,-1.5
2172,-1.513
2173,-1.525
2174,-1.538
2175,-1.549
2176,-1.56
2177,-1.571
2178,-1.582
2179,-1.592
2180,-1.602
2181,-1.611
2182,-1.62
2183,-1.628
2184,-1.636
2185,-1.644
2186,-1.653
2187,-1.662
2188,-1.669
2189,-1.676
2190,-1.682
2191,-1.688
2192,-1.693
2193,-1.698
2194,-1.703
2195,-1.713
2196,-1.721
2197,-1.727
2198,-1.731
2199,-1.735
2200,-1.738
2201,-1.741
2202,-1.743
2203,-1.744
2204,-1.745
2205,-1.746
2206,-1.747
2207,-1.747
2208,-1.748
2209,-1.749
2210,-1.749
2211,-1.749
2212,-1.749
2213,-1.748
2214,-1.748
2215,-1.747
2216,-1.746
2217,-1.744
2218,-1.742
2219,-1.74
2220,-1.737
2221,-1.734
2222,-1.731
2223,-1.727
2224,-1.723
2225,-1.719
2226,-1.714
2227,-1.71
2228,-1.705
2229,-1.7
2230,-1.695
2231,-1.69
2232,-1.685
2233,-1.679
2234,-1.674
2235,-1.668
2236,-1.662
2237,-1.656
2238,-1.65
2239,-1.643
2240,-1.637
2241,-1.63
2242,-1.623
2243,-1.616
2244,-1.609
2245,-1.602
2246,-1.594
2247,-1.587
2248,-1.579
2249,-1.571
2250,-1.563
2251,-1.555
2252,-1.547
2253,-1.537
2254,-1.527
2255,-1.516
2256,-1.506
2257,-1.494
2258,-1.483
2259,-1.472
2260,-1.46
2261,-1.449
2262,-1.437
2263,-1.426
2264,-1.414
2265,-1.402
2266,-1.39
2267,-1.379
2268,-1.367
2269,-1.355
2270,-1.343
2271,-1.331
2272,-1.319
2273,-1.307
2274,-1.296
2275,-1.284
2276,-1.272
2277,-1.26
2278,-1.248
2279,-1.236
2280,-1.224
2281,-1.213
2282,-1.201
2283,-1.189
2284,-1.178
2285,-1.166
2286,-1.155
2287,-1.143
2288,-1.132
2289,-1.121
2290,-1.109
2291,-1.098
2292,-1.087
2293,-1.076
2294,-1.065
2295,-1.055
2296,-1.044
2297,-1.034
2298,-1.024
2299,-1.014
2300,-1.004
