# LUC emissions flux from the G-Carbon model (Steve Smith),,,,,
Year,value,vtag,units,type,ctag
1595,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1596,-0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1597,-0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1598,-0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1599,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1600,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1601,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1602,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1603,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1604,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1605,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1606,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1607,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1608,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1609,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1610,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1611,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1612,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1613,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1614,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1615,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1616,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1617,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1618,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1619,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1620,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1621,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1622,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1623,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1624,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1625,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1626,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1627,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1628,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1629,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1630,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1631,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1632,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1633,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1634,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1635,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1636,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1637,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1638,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1639,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1640,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1641,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1642,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1643,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1644,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1645,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1646,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1647,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1648,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1649,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1650,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1651,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1652,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1653,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1654,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1655,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1656,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1657,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1658,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1659,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1660,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1661,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1662,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1663,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1664,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1665,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1666,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1667,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1668,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1669,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1670,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1671,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1672,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1673,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1674,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1675,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1676,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1677,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1678,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1679,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1680,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1681,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1682,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1683,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1684,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1685,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1686,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1687,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1688,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1689,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1690,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1691,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1692,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1693,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1694,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1695,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1696,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1697,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1698,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1699,0.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1700,0.05,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1701,0.06,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1702,0.07,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1703,0.09,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1704,0.1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1705,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1706,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1707,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1708,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1709,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1710,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1711,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1712,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1713,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1714,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1715,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1716,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1717,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1718,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1719,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1720,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1721,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1722,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1723,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1724,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1725,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1726,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1727,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1728,0.13,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1729,0.14,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1730,0.15,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1731,0.15,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1732,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1733,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1734,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1735,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1736,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1737,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1738,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1739,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1740,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1741,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1742,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1743,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1744,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1745,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1746,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1747,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1748,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1749,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1750,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1751,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1752,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1753,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1754,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1755,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1756,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1757,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1758,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1759,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1760,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1761,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1762,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1763,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1764,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1765,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1766,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1767,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1768,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1769,0.2,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1770,0.21,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1771,0.22,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1772,0.23,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1773,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1774,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1775,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1776,0.27,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1777,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1778,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1779,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1780,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1781,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1782,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1783,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1784,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1785,0.23,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1786,0.23,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1787,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1788,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1789,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1790,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1791,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1792,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1793,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1794,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1795,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1796,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1797,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1798,0.27,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1799,0.28,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1800,0.28,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1801,0.29,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1802,0.3,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1803,0.31,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1804,0.31,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1805,0.32,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1806,0.33,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1807,0.33,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1808,0.33,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1809,0.34,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1810,0.34,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1811,0.35,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1812,0.35,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1813,0.36,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1814,0.36,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1815,0.36,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1816,0.37,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1817,0.38,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1818,0.39,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1819,0.41,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1820,0.42,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1821,0.43,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1822,0.45,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1823,0.46,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1824,0.47,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1825,0.49,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1826,0.49,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1827,0.5,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1828,0.52,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1829,0.53,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1830,0.55,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1831,0.56,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1832,0.57,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1833,0.59,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1834,0.61,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1835,0.62,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1836,0.63,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1837,0.64,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1838,0.65,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1839,0.67,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1840,0.68,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1841,0.69,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1842,0.71,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1843,0.72,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1844,0.73,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1845,0.74,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1846,0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1847,0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1848,0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1849,0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1850,0.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1851,0.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1852,0.78,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1853,0.78,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1854,0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1855,0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1856,0.8,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1857,0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1858,0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1859,0.78,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1860,0.77,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1861,0.76,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1862,0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1863,0.74,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1864,0.73,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1865,0.72,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1866,0.72,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1867,0.75,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1868,0.79,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1869,0.83,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1870,0.87,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1871,0.91,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1872,0.96,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1873,1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1874,1.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1875,1.08,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1876,1.1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1877,1.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1878,1.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1879,1.14,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1880,1.15,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1881,1.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1882,1.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1883,1.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1884,1.21,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1885,1.22,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1886,1.23,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1887,1.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1888,1.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1889,1.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1890,1.27,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1891,1.28,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1892,1.29,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1893,1.3,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1894,1.3,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1895,1.31,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1896,1.31,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1897,1.34,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1898,1.37,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1899,1.41,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1900,1.44,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1901,1.48,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1902,1.52,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1903,1.57,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1904,1.61,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1905,1.65,lucEmissions,Pg C/yr,Simulated,carbon_cycle
